"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1397",86.655716,86.905716,86.222855,86.608574,63175000,75.87162
"1398",87.325714,87.907143,86.571426,87.760002,109215400,76.880302
"1399",87.575714,87.777145,86.242859,86.328575,99367800,75.626335
"1400",84.914284,86.557144,83.958572,86.261429,121993900,75.56752
"1401",86.76857,87.097145,85.501427,85.845711,141283100,75.203339
"1402",82.065712,82.971428,81.428574,82.138573,219328200,71.955772
"1403",82.822861,82.914284,81.480003,82.125717,101658200,71.944519
"1404",82.144287,83.690002,81.655716,83.594284,100984100,73.231026
"1405",84.417145,85.634285,83.974289,85.004288,94785600,74.466232
"1406",86.175713,87.385712,86.102859,87.251427,115581900,76.434792
"1407",87.987144,88.057144,86.14286,86.687141,96125400,75.94046
"1408",86.120003,87.241432,85.75,86.827141,83039600,76.063103
"1409",87.66143,88.28286,87.365715,87.957146,86230200,77.053017
"1410",88.184288,89.267143,87.894287,88.935715,75525800,77.910294
"1411",88.96714,89.285713,88.291428,88.701431,72611700,77.70504
"1412",88.484283,89.125717,88.157143,88.55143,61176500,77.573624
"1413",88.264282,88.818573,88.257141,88.675713,55410600,78.016022
"1414",88.387146,88.822861,88.385712,88.814285,48734700,78.137932
"1415",89.055717,90,89.035713,90,69708100,79.181114
"1416",90.267143,91.230003,90.029999,90.241432,85042300,79.393532
"1417",90.185715,90.571426,89.678574,90.118568,64335600,79.285439
"1418",90.172859,90.965714,90.071426,90.905716,63633500,79.977959
"1419",91.428574,92.598572,91.258568,92.587143,110690300,81.457275
"1420",92.858574,95.021431,92.842857,95.021431,153346200,83.598923
"1421",95.831429,96.41143,92.904289,93.722855,203179900,82.456451
"1422",93.488571,95.571426,92.587143,95.552856,141330700,84.066475
"1423",95.158569,95.699997,94.449997,94.66143,105032200,83.282204
"1424",94.215714,95.639999,93.650002,94.745712,109335100,83.356361
"1425",97.141426,97.267143,96.220001,96.525711,106752100,84.922394
"1426",96.425713,96.585716,95.809998,96.400002,66854200,84.81179
"1427",96.464287,96.809998,96.085716,96.209999,50701700,84.644623
"1428",95.805717,95.935715,94.692856,94.83857,75674900,83.438042
"1429",95.321426,95.514282,93.89286,95.034286,84580300,83.610245
"1430",95.108574,96.44857,94.928574,96.424286,91973000,84.833153
"1431",96.510002,96.621429,95.657143,95.747147,84093800,84.237411
"1432",96.167145,96.898575,95.828575,96.610001,97799100,84.996529
"1433",96.864288,97.497147,96.538574,97.205711,82416600,85.520653
"1434",97.207146,97.612854,94.585716,94.677139,121999500,83.296036
"1435",95.015717,95.728569,93.785713,94.370003,125995800,83.025803
"1436",95.264282,95.699997,93.714287,95.684288,178058300,84.182106
"1437",96.767143,97.928574,96.395714,97.568573,149590000,85.839882
"1438",98.565712,99.568573,98.269997,98.754288,150118500,86.883041
"1439",99.907143,99.971428,99.230003,99.968575,99507800,87.95137
